Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
HOR396_1	Sanger / Illumina 1.9	101	49296981	62	48	65.460314050367	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR396_2	Sanger / Illumina 1.9	101	49296981	62	48	65.73999878072765	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR4150_1	Sanger / Illumina 1.9	101	58219060	73	48	63.40512409945182	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR4150_2	Sanger / Illumina 1.9	100	58219060	72	48	63.895961623754495	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR4469_1	Sanger / Illumina 1.9	101	52723392	66	46	65.01550365014236	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR4469_2	Sanger / Illumina 1.9	101	52723392	66	46	65.90749543191106	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR454_1	Sanger / Illumina 1.9	101	49424805	62	48	75.5091896209102	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR454_2	Sanger / Illumina 1.9	100	49424805	61	48	76.70671425025543	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR4720_1	Sanger / Illumina 1.9	101	53316861	67	47	69.59599912945549	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR4720_2	Sanger / Illumina 1.9	97	53316861	64	48	72.77380480885587	FAIL	FAIL	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR4724_1	Sanger / Illumina 1.9	101	50208154	63	48	61.55984972009348	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR4724_2	Sanger / Illumina 1.9	100	50208154	62	48	61.87381693715635	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR5702_1	Sanger / Illumina 1.9	101	52252597	65	48	74.55592412112527	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR5702_2	Sanger / Illumina 1.9	100	52252597	65	48	76.07034935451024	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HOR6360_1	Sanger / Illumina 1.9	101	52970292	66	48	66.46076993193434	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR6360_2	Sanger / Illumina 1.9	101	52970292	66	48	67.33599199481468	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR713_1	Sanger / Illumina 1.9	101	50275194	63	47	62.44167397730863	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR713_2	Sanger / Illumina 1.9	101	50275194	63	47	62.6107736422696	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
